FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION
06/04/17,07/04/17,36.55,TESCO STORE 2296,COLNEY HATCH,36.55,GBP,1.00
06/04/17,07/04/17,58.75,AMFBOWLING.CO.UK,01442 840200,58.75,GBP,1.00
10/04/17,11/04/17,40.50,WWW.GOJUMPIN.COM,INTERNET,40.50,GBP,1.00
12/04/17,13/04/17,23.90,AMFBOWLING.CO.UK,01442 840200,23.90,GBP,1.00
12/04/17,13/04/17,24.28,VUE BSL LTD,LONDON,24.28,GBP,1.00
12/04/17,13/04/17,93.92,B & M RETAIL,TOTTENHAM,93.92,GBP,1.00
15/04/17,17/04/17,58.00,WILKO.COM,0845 6080807,58.00,GBP,1.00
18/04/17,19/04/17,12.00,TESCO STORES 2296,COLNEY HATCH,12.00,GBP,1.00
18/04/17,19/04/17,11.50,ASDA SUPERSTORE,S'GATE CIRCUS,11.50,GBP,1.00
18/04/17,19/04/17,20.72,ASDA SUPERSTORE,S'GATE CIRCUS,20.72,GBP,1.00
25/04/17,26/04/17,90.21,HOMEBASE LTD 024,LONDON  N11,90.21,GBP,1.00
28/04/17,01/05/17,24.71,HOMEBASE LTD 024,LONDON  N11,24.71,GBP,1.00
28/04/17,01/05/17,-22.79,HOMEBASE LTD 024,LONDON  N11,-22.79,GBP,1.00
27/04/17,01/05/17,47.12,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,47.12,GBP,1.00
09/04/17,10/04/17,5.00,GIFFGAFF.COM,ONLINE STORE,5.00,GBP,1.00
28/04/17,01/05/17,5.00,GIFFGAFF.COM,ONLINE STORE,5.00,GBP,1.00
04/04/17,05/04/17,338.95,CURRYS,STEVENAGE,338.95,GBP,1.00
04/04/17,06/04/17,11.50,TFL ROAD CHARGE,0343 222 2222,11.50,GBP,1.00
05/04/17,07/04/17,11.50,TFL ROAD CHARGE,0343 222 2222,11.50,GBP,1.00
11/04/17,13/04/17,11.50,TFL ROAD CHARGE,0343 222 2222,11.50,GBP,1.00
20/04/17,21/04/17,14.00,SAINSBURYS 0567,LONDON COLNEY,14.00,GBP,1.00
25/04/17,26/04/17,355.00,PINKS FLORISTS SPIRES,BARNET,355.00,GBP,1.00
25/04/17,27/04/17,11.50,TFL ROAD CHARGE,0343 222 2222,11.50,GBP,1.00
05/04/17,07/04/17,620.92,ARGOS DIRECT,HOME SHOPPING,620.92,GBP,1.00
11/04/17,12/04/17,40.98,WWW.ARGOS.CO.UK,INTERNET,40.98,GBP,1.00
12/04/17,13/04/17,80.44,ARGOS RETAIL GROUP,INTERNET,80.44,GBP,1.00
12/04/17,13/04/17,124.99,ARGOS RETAIL GROUP,INTERNET,124.99,GBP,1.00
12/04/17,13/04/17,319.97,WWW.ARGOS.CO.UK,INTERNET,319.97,GBP,1.00
13/04/17,14/04/17,718.95,WWW.TWINSUK.CO.UK,01670 856996,718.95,GBP,1.00
20/04/17,24/04/17,103.94,WWW.ARGOS.CO.UK,INTERNET,103.94,GBP,1.00
25/04/17,26/04/17,115.20,PAYPAL  EDKHAULAGEL,35314369001,115.20,GBP,1.00
26/04/17,27/04/17,203.99,AO RETAIL LIMITED,.,203.99,GBP,1.00
26/04/17,27/04/17,375.00,ROC PRIVATE CLINIC,LONDON  W1G,375.00,GBP,1.00
12/04/17,13/04/17,344.98,CURRYS ONLINE,HEMEL HEMPSTE,344.98,GBP,1.00
20/04/17,21/04/17,48.50,ASDA GEORGE COM LEEDS,LEEDS,48.50,GBP,1.00
30/04/17,01/05/17,-48.50,ASDA GEORGE COM LEEDS,LEEDS,-48.50,GBP,1.00
28/04/17,01/05/17,34.50,ASDA GEORGE COM LEEDS,LEEDS,34.50,GBP,1.00
05/04/17,06/04/17,42.10,SAINSBURYS TO YOU 0637,HENDON,42.10,GBP,1.00
10/04/17,11/04/17,140.17,B & Q 1066,STANMORE,140.17,GBP,1.00
12/04/17,13/04/17,26.98,AMAZON UK MARKETPLACE,800-279-6620,26.98,GBP,1.00
19/04/17,20/04/17,21.45,SAINSBURYS LOC (4216),HENDON,21.45,GBP,1.00
19/04/17,20/04/17,122.26,BT PAY BY PHONE,DURHAM,122.26,GBP,1.00
20/04/17,21/04/17,31.98,AMAZON UK MARKETPLACE,800-279-6620,31.98,GBP,1.00
20/04/17,21/04/17,11.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.99,GBP,1.00
