Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Adults and Communities,Books-CDs-Audio-Video,AMAZON EU,05/12/2016,10510,45.00
Adults and Communities,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,05/12/2016,10509,426.57
Adults and Communities,Books-CDs-Audio-Video,AMAZON UK RETAIL AMAZO,06/12/2016,10524,121.38
Adults and Communities,Consumable Catering Supplies,WWW.ARGOS.CO.UK,01/03/2017,11667,78.94
Adults and Communities,CSG  - IT,AMAZON UK MARKETPLACE,01/02/2017,10974,97.50
Adults and Communities,CSG  - IT,AMAZON UK MARKETPLACE,21/12/2016,10742,97.50
Adults and Communities,CSG  - IT,AMAZON UK RETAIL AMAZO,01/02/2017,10975,62.40
Adults and Communities,Electricity,E.ON ENERGY SOLUTIONS,11/01/2017,11245,"3,569.03"
Adults and Communities,Equipment and Materials Purcha,AMAZON EU,02/02/2017,10976,16.98
Adults and Communities,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",13/10/2016,9819,3.95
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/01/2017,10967,57.99
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/09/2016,9336,18.89
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/12/2016,10520,15.70
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2016,9365,61.71
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/07/2016,8688,14.95
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/09/2016,9376,125.00
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/09/2016,9395,85.98
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/10/2016,9834,3.90
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/02/2017,11455,4.95
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,17/01/2017,10970,35.58
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/09/2016,9569,15.85
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/03/2017,12135,11.99
Adults and Communities,Equipment and Materials Purcha,ARGOS RETAIL GROUP,13/10/2016,9828,9.99
Adults and Communities,Equipment and Materials Purcha,ARGOS RETAIL GROUP,19/07/2016,8800,87.96
Adults and Communities,Equipment and Materials Purcha,CREATESEND/COM,02/11/2016,10090,5.00
Adults and Communities,Equipment and Materials Purcha,CREATESEND/COM,02/12/2016,10488,5.00
