Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Assurance,Miscellaneous Expenses,43033820 COSTA COFFEE,18/08/2015,5043,2
Children's Family Services,Miscellaneous Expenses,99 PLUS DISCOUNT MART,08/06/2015,4184,29.97
Children's Family Services,E19 - Learning Resources,99P STORES LTD,07/12/2015,6278,34.65
Children's Family Services,Equipment and Materials Purcha,99P STORES LTD,18/08/2015,5041,10.72
Children's Family Services,Subsistence,CHOPSTIX00000000000,21/05/2015,5750,33.7
Children's Family Services,Subsistence,DOMINOS PIZZA (BARN,21/05/2015,5752,25.97
Children's Family Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,21/05/2015,5773,-9.25
Children's Family Services,Miscellaneous Expenses,KEMPSFORD HSE HTL00,21/05/2015,5774,79
Children's Family Services,Miscellaneous Expenses,TV LICENSING0000000,21/05/2015,5847,145.5
Children's Family Services,Other Transfer Payments to Soc,WWW.COMAPRETHEMANAN,21/05/2015,5845,49.95
Children's Family Services,Other Transfer Payments to Soc,WWW.COMAPRETHEMANAN,21/05/2015,5846,32.28
Children's Family Services,Miscellaneous Expenses,WWW.OXFORDSHIRE.GOV,21/05/2015,5844,11.5
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD0,21/05/2015,5848,10
Assurance,Miscellaneous Expenses,A&Y LOCKSMITHS,03/02/2016,6943,5.83
Children's Service DSG,Equipment and Materials Purcha,AA MEDIA,23/10/2015,5731,480
Children's Family Services,Building Repairs & Maintenance,ABEL ALARM COMPANY LIM,11/11/2015,5971,99
Children's Family Services,Training,ABERYSTWYTH UNIVERSITY,19/08/2015,5067,233
Customer Support Group,Professional Services,ABLE GROUP UK,11/06/2015,4240,114
Children's Family Services,Building Repairs & Maintenance,AC LEIGH (NORWICH) LTD,08/02/2016,6986,333.33
Children's Family Services,Building Repairs & Maintenance,AC LEIGH (NORWICH) LTD,10/02/2016,7029,341.33
Children's Family Services,Building Repairs & Maintenance,AC LEIGH (NORWICH) LTD,21/12/2015,6466,10.3
Children's Family Services,Other Services,ACE GRAPHICS,28/10/2015,5798,55
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/01/2016,6554,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/02/2016,6892,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/03/2016,7271,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/10/2015,5502,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/12/2015,6216,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,02/11/2015,5850,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,08/06/2015,4193,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,08/07/2015,4596,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,08/09/2015,5261,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,10/08/2015,4937,114.33
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,14/05/2015,3108,114.33
Children's Education & Skills,Software Licences & Support,ADOBE SYSTEMS SOFTWARE,09/12/2015,6326,7.19
Children's Family Services,Other Agencies - Third Party P,ADVANTIS CREDIT - MOTO,15/10/2015,5640,107.95
Children's Education & Skills,Equipment and Materials Purcha,AFE SERVICELINE,30/09/2015,5485,375
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE,01/05/2015,3037,479.84
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE,27/05/2015,3226,138.1
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE,29/07/2015,4832,268.86
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE,30/04/2015,3033,500
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE,30/09/2015,5491,374.49
Children's Education & Skills,Equipment and Materials Repair,AFE SERVICELINE0000,21/05/2015,5657,173.58
Children's Family Services,Water Services,AFFINITY WATER LTD,14/12/2015,6362,235.7
Commissioning,Equipment and Materials Purcha,AFFINITY WATER LTD,06/01/2016,6582,141.25
Children's Family Services,Equipment and Materials Purcha,AKZONOBEL,01/07/2015,4503,53.21
Adults and Communities,Training,ALDI,19/11/2015,6071,34.98
Children's Family Services,Other Services,ALL LONDON GLASS,06/08/2015,4908,156
Children's Education & Skills,Training,ALLSAFE,08/07/2015,4589,222
Adults and Communities,Training,AMAZON EU,11/01/2016,6621,133.34
Adults and Communities,Training,AMAZON EU,20/08/2015,5074,112.42
Adults and Communities,Training,AMAZON EU,20/08/2015,5075,112.42
Adults and Communities,Training,AMAZON EU,27/08/2015,5149,210.73
Adults and Communities,Training,AMAZON EU,31/08/2015,5189,-16.22
